X,Y
258.06,-91.172
163.54,-172.248
-260.2768,73.22144
391.1326,-332.85912
-296.8591,56.98728
225.5101,-75.11212
110.5442,-22.15304
62.9,167.52
175.7052,-84.34624
237.2962,-72.25544
167.025,-188.93
-123.1089,21.98712
154.8003,-108.76036
320.2409,-32.78908
130.56,-52.672
228.1485,-53.2782
-219.2099,-190.13208
116.025,141.27
-232.645,-13.384
232.2829,90.26052
-300.0109,-110.99128
354.1338,-263.46056
-296.5735,126.7588
209.95,-204.44
259.7124,-36.15488
87.04,5.552
-330.2641,-87.28872
395.25,-261.8
-212.2416,42.29328
228.2148,40.64224
-235.875,-241.8
248.285,-81.942
135.66,78.708
-355.4751,-210.61992
300.645,-70.774
-277.0456,-145.86352
349.35,-105.72
79.254,111.8952
291.5364,-228.84368
-267.75,46.2
281.945,-6.834
263.0155,-97.1186
-389.895,80.916
257.3698,-101.84376
-219.5125,-253.39
293.25,4.6
-346.6113,88.28904
206.7846,49.35848
-171.9618,-175.93056
151.1436,-192.37232
195.84,-62.508
-251.5677,-68.74584
284.75,-45.7
87.1947,90.86636
-289.8959,-258.08328
215.05,-33.06
-184.11,-84.712
324.87,20.156
-315.1375,-139.89
170.8347,64.99836
-111.265,-180.988
188.8343,104.89884
-322.3625,-212.11
259.9028,-99.38336
-294.2802,-171.57584
282.5655,7.4214
-295.5348,-93.57216
70.3188,77.11744
154.6133,67.46404
-256.3515,43.5812
267.4763,-70.97156
286.7985,-179.1582
245.6517,-164.78204
-248.6573,20.42584
222.4722,-67.46664
-299.1252,-211.69984
410.55,116.84
-303.025,-54.58
411.9984,-366.89808
146.965,-48.858
-193.8,74.04
216.75,-64.6
46.8503,-32.22036
142.545,-159.554
240.465,-35.558
171.9618,263.64584
-355.725,-78.42
105.9389,223.87332
-240.465,-297.628
186.32,56.916
-325.89,19.212
118.2384,-5.88608
31.365,-118.138
247.3398,-173.30776
-222.2563,54.30504
417.945,-150.034
-322.7926,-109.26592
254.1602,118.00776
-328.8735,-167.4012
-299.3921,39.51368
247.3398,-176.80776
-3.179,-21.4568
197.2238,-18.16856
190.5054,-44.60648
271.745,-270.094
